,name,price,first name,last name,above_100
40,Evelyn Pineda,169.2289293,Evelyn,Pineda,true
41,Kyle Peters,106.7990952,Kyle,Peters,true
42,Anthony Cruz,49.10199817,Anthony,Cruz,false
43,Eric Flores,122.9556986,Eric,Flores,true
44,Anna Richardson,254.4952606,Anna,Richardson,true
45,Gary Harper,47.59652592,Gary,Harper,false
46,Linda Johnson,115.3627815,Linda,Johnson,true
47,Melissa Smith,87.97994846,Melissa,Smith,false
48,Kristen Floyd,135.0230413,Kristen,Floyd,true
49,William Diaz,192.1491355,William,Diaz,true
50,Benjamin Smith,134.9052939,Benjamin,Smith,true
51,David Glenn,216.2910463,David,Glenn,true
52,Dawn Jones,271.6144999,Dawn,Jones,true
53,Joel Smith,14.4949198,Joel,Smith,false
54,Mr. Larry Grimes MD,268.6758682,Mr.,Larry Grimes MD,true
55,Joseph Arnold,121.7750468,Joseph,Arnold,true
56,Kyle Long,241.6216391,Kyle,Long,true
57,Brittany Day,261.5460574,Brittany,Day,true
58,Bobby Ward,63.5130358,Bobby,Ward,false
59,Thomas Lee,254.0755771,Thomas,Lee,true
60,Jennifer Hansen,101.4887352,Jennifer,Hansen,true
61,Lisa Murray,176.0919174,Lisa,Murray,true
62,Meghan Wade,273.2303409,Meghan,Wade,true
63,Tammie Brooks,84.88856949,Tammie,Brooks,false
64,Maria Bell,264.0746652,Maria,Bell,true
65,Allison Livingston,130.3484426,Allison,Livingston,true
66,Chris Hays,17.34276379,Chris,Hays,false
67,Courtney Mitchell,78.93257699,Courtney,Mitchell,false
68,Shawn White,188.0219256,Shawn,White,true
69,Taylor Gomez,225.0198237,Taylor,Gomez,true
70,Jeremy Rodriguez,200.7248208,Jeremy,Rodriguez,true
71,April Garcia,66.24555967,April,Garcia,false
72,Zachary Watts,15.49738786,Zachary,Watts,false
73,Sarah Montoya,206.8212547,Sarah,Montoya,true
74,Jennifer Barker,89.18615989,Jennifer,Barker,false
75,Sharon Garza,72.35772704,Sharon,Garza,false
76,Tiffany Stevens,196.379322,Tiffany,Stevens,true
77,Ruben Armstrong,93.69836738,Ruben,Armstrong,false
78,Dr. Jeffrey Spencer,271.162282,Dr.,Jeffrey Spencer,true
79,Nicole Ramsey,247.8596071,Nicole,Ramsey,true
80,Anne Roy,277.9324821,Anne,Roy,true
81,Lori Sanchez,285.6616405,Lori,Sanchez,true
82,Allison Chavez,126.850211,Allison,Chavez,true
83,Marcus Adams,36.47040894,Marcus,Adams,false
84,Mary Smith,16.31507197,Mary,Smith,false
85,Joseph Reed,178.4576742,Joseph,Reed,true
86,Jason Armstrong,26.04525746,Jason,Armstrong,false
87,Jeff Armstrong,88.47561284,Jeff,Armstrong,false
88,Sean Shields,247.8395255,Sean,Shields,true
89,Jessica Allison,104.742308,Jessica,Allison,true
90,Christian Grant,99.11707917,Christian,Grant,false
91,Edward Watson,180.3535589,Edward,Watson,true
92,Derrick Cooke,142.090116,Derrick,Cooke,true
93,Arthur Hall MD,235.9669749,Arthur,Hall MD,true
94,Sean Patrick,139.4507994,Sean,Patrick,true
95,Heather Collins,127.3925734,Heather,Collins,true
96,Megan Gomez,107.8624451,Megan,Gomez,true
97,William Hale,114.6709254,William,Hale,true
98,Olivia Thompson,8.608441014,Olivia,Thompson,false
99,Lori Torres,18.85827433,Lori,Torres,false
100,Vickie Hernandez,214.9321807,Vickie,Hernandez,true
101,Kimberly Brown,40.3199327,Kimberly,Brown,false
102,Sherry Meza,182.8545499,Sherry,Meza,true
103,Phillip Hansen,44.11611704,Phillip,Hansen,false
104,Jeanette Knight,28.68694329,Jeanette,Knight,false
105,Kayla Hanson,27.63036397,Kayla,Hanson,false
106,James Johnston,284.4290554,James,Johnston,true
107,Dr. John Porter,53.72799274,Dr.,John Porter,false
108,Elizabeth Reyes,93.68075684,Elizabeth,Reyes,false
109,Kristen Henry,77.00624357,Kristen,Henry,false
110,Claudia Anderson,160.3401593,Claudia,Anderson,true
111,Nicholas Webb,18.71038619,Nicholas,Webb,false
112,Allison Cooper,206.0421068,Allison,Cooper,true
113,Zachary Barnes,280.7741315,Zachary,Barnes,true
114,Gregory Hill III,265.9765808,Gregory,Hill III,true
115,Terry Ayers,16.51163899,Terry,Ayers,false
116,Jessica Wilson,290.4095461,Jessica,Wilson,true
117,Daniel Frazier,190.3291917,Daniel,Frazier,true
118,Brian Welch,218.2505083,Brian,Welch,true
119,Carol Chavez,123.1834427,Carol,Chavez,true
120,Ethan Mcdonald,214.3503174,Ethan,Mcdonald,true
121,Gerald Martinez,57.54786356,Gerald,Martinez,false
122,Eric King,59.87926423,Eric,King,false
123,Sylvia Walters,110.9463132,Sylvia,Walters,true
124,Jonathan Lane,64.46710142,Jonathan,Lane,false
125,Matthew Turner,180.2628702,Matthew,Turner,true
126,Jeffrey Bauer,30.51584181,Jeffrey,Bauer,false
127,Jessica Shaffer,54.90193651,Jessica,Shaffer,false
128,Chris Spencer,251.3752831,Chris,Spencer,true
129,Mary Clarke,236.0529879,Mary,Clarke,true
130,Timothy Mendoza,105.9834816,Timothy,Mendoza,true
131,Alicia Hoffman,182.343699,Alicia,Hoffman,true
132,Joseph Gardner,144.8091344,Joseph,Gardner,true
133,Rachael Rangel,297.9496406,Rachael,Rangel,true
134,Jeffrey Harrington,194.2716338,Jeffrey,Harrington,true
135,Sophia Randolph,158.543126,Sophia,Randolph,true
136,Debbie Freeman,275.8719167,Debbie,Freeman,true
137,Matthew Braun,201.7749657,Matthew,Braun,true
138,Sheri Hudson,268.3748402,Sheri,Hudson,true
139,Mary King,204.0785754,Mary,King,true
140,Beth Davis,155.0680648,Beth,Davis,true
141,Margaret Castillo,193.9063244,Margaret,Castillo,true
142,Tommy Sandoval,172.283041,Tommy,Sandoval,true
143,Christopher Hines,46.55435299,Christopher,Hines,false
144,Richard Wright,208.3596969,Richard,Wright,true
145,Michael Brown,278.5230886,Michael,Brown,true
146,Nathan Yu,134.1895098,Nathan,Yu,true
147,Cameron Ford,248.8921382,Cameron,Ford,true
148,Carla Hayes,265.3745759,Carla,Hayes,true
149,Marissa Matthews,136.0925777,Marissa,Matthews,true
150,Dr. Samuel Thompson,237.1592416,Dr.,Samuel Thompson,true
151,Gary Figueroa,168.9447684,Gary,Figueroa,true
152,Michael West,146.8886849,Michael,West,true
153,Martin Walton,140.3400576,Martin,Walton,true
154,Zachary Lee,8.667301583,Zachary,Lee,false
155,Christopher Stephenson,67.01185633,Christopher,Stephenson,false
156,Eric Ortiz,117.7242458,Eric,Ortiz,true
157,Kara Pittman,56.23964364,Kara,Pittman,false
158,Andrew Cowan,295.9391812,Andrew,Cowan,true
159,Rhonda Moss DDS,259.0397505,Rhonda,Moss DDS,true
160,Sarah Williams,92.82627714,Sarah,Williams,false
161,Carolyn Collins,236.2472888,Carolyn,Collins,true
162,Larry Mooney,135.2701794,Larry,Mooney,true
163,Laura Livingston,294.2580699,Laura,Livingston,true
164,Candace Mckenzie,84.58145758,Candace,Mckenzie,false
165,Candace Wallace,124.7464543,Candace,Wallace,true
166,Jason White,218.4318041,Jason,White,true
167,Patricia Reynolds,89.01176826,Patricia,Reynolds,false
168,Michael Ellison,244.4717106,Michael,Ellison,true
169,Melissa Robles,238.4560967,Melissa,Robles,true
170,Heidi Fry,109.6264717,Heidi,Fry,true
171,James Smith,163.9573856,James,Smith,true
172,Charles Ruiz,48.45811847,Charles,Ruiz,false
173,Stephanie Green DDS,9.144974191,Stephanie,Green DDS,false
174,Stacey Garcia,106.6192039,Stacey,Garcia,true
175,Glenda Burke,206.3635063,Glenda,Burke,true
176,Zachary Alvarez,104.052369,Zachary,Alvarez,true
177,Rachel Shaw,2.448211506,Rachel,Shaw,false
178,Carmen Beard,269.623685,Carmen,Beard,true
179,Tony Daniels,186.9035775,Tony,Daniels,true
180,Randy Mora,70.74105982,Randy,Mora,false
181,George Aguirre,128.9497508,George,Aguirre,true
182,James Miller,297.0405639,James,Miller,true
183,Jacqueline Williams,17.30622156,Jacqueline,Williams,false
184,April Taylor,121.2898903,April,Taylor,true
185,Robert Johnson,131.6237779,Robert,Johnson,true
186,Gary White,280.9706506,Gary,White,true
187,Kim Lowe,192.7758756,Kim,Lowe,true
188,Samantha Jones,136.3415564,Samantha,Jones,true
189,Randy Lozano,16.30104965,Randy,Lozano,false
190,Arthur Chavez,6.903795238,Arthur,Chavez,false
191,Melissa Miller,162.6066945,Melissa,Miller,true
192,Leslie Mccormick,282.5021066,Leslie,Mccormick,true
193,Carlos Rubio,63.21802404,Carlos,Rubio,false
194,David York,86.53219266,David,York,false
195,Gabriella Anthony,7.638645405,Gabriella,Anthony,false
196,Olivia Poole,117.854172,Olivia,Poole,true
197,Wayne Wilson,74.67047228,Wayne,Wilson,false
198,Elizabeth Moore,267.3988136,Elizabeth,Moore,true
199,Janice Campbell,33.4533981,Janice,Campbell,false
200,Julie Johnson,63.64156782,Julie,Johnson,false
201,Misty Cantrell,189.0392091,Misty,Cantrell,true
202,Robert Soto,109.0138357,Robert,Soto,true
203,Brenda Cowan,60.84957659,Brenda,Cowan,false
204,Kelly Guerrero,259.5112157,Kelly,Guerrero,true
205,David Nichols,19.48524858,David,Nichols,false
206,Kayla Taylor,186.2356283,Kayla,Taylor,true
207,Antonio Garcia,125.4772126,Antonio,Garcia,true
208,Tyler Cisneros,186.5898295,Tyler,Cisneros,true
209,Jillian Crawford,158.8172773,Jillian,Crawford,true
210,Karl Pierce,132.7746811,Karl,Pierce,true
211,Joann Taylor,276.9621962,Joann,Taylor,true
212,Jennifer Jenkins,59.12858208,Jennifer,Jenkins,false
213,Nancy Brown,78.87073418,Nancy,Brown,false
214,Emma Munoz,120.8428757,Emma,Munoz,true
215,Shawn Galloway,141.0298622,Shawn,Galloway,true
216,Melissa Mcguire,213.0821204,Melissa,Mcguire,true
217,Bryan Chavez,125.396156,Bryan,Chavez,true
218,Fernando Salazar,256.1537305,Fernando,Salazar,true
219,Megan Moore,251.3477985,Megan,Moore,true
220,Robert Williams,175.209725,Robert,Williams,true
221,Dennis Sanford,29.45043264,Dennis,Sanford,false
222,Kimberly Herrera,154.8076505,Kimberly,Herrera,true
223,Gloria Potts,289.1049353,Gloria,Potts,true
224,Suzanne Barnett,8.470995351,Suzanne,Barnett,false
225,Leah Myers,44.5579739,Leah,Myers,false
226,Kylie Thomas,13.45341602,Kylie,Thomas,false
227,Amanda Murphy,50.55321552,Amanda,Murphy,false
228,Christopher Matthews,282.3634971,Christopher,Matthews,true
229,Nicole Parks,52.28399767,Nicole,Parks,false
230,Bobby Martin,205.4899695,Bobby,Martin,true
231,Kevin Chambers,121.1711016,Kevin,Chambers,true
232,Kimberly Lawson,250.2880742,Kimberly,Lawson,true
233,Rachel Lopez,101.8881123,Rachel,Lopez,true
234,Christopher Clay,219.3845088,Christopher,Clay,true
235,Daniel Martin,.30019336,Daniel,Martin,false
236,William Taylor,66.55747014,William,Taylor,false
237,Steven Johnson,111.293282,Steven,Johnson,true
238,Daniel Miller,80.57756789,Daniel,Miller,false
239,Taylor Bryant,187.6315408,Taylor,Bryant,true
240,Lauren Jones,194.7926312,Lauren,Jones,true
241,Lindsey Robertson,22.73764686,Lindsey,Robertson,false
242,Allison Thomas,168.3334975,Allison,Thomas,true
243,Vernon Bishop,216.1870446,Vernon,Bishop,true
244,Susan Parsons,132.918526,Susan,Parsons,true
245,Brady Snyder,210.3960863,Brady,Snyder,true
246,Brent Mcgrath,174.6983567,Brent,Mcgrath,true
247,Peter Smith,278.6080181,Peter,Smith,true
248,Deborah Fox,248.1228234,Deborah,Fox,true
249,Heather Collins,147.4274074,Heather,Collins,true
250,Phillip Meyers,102.7977472,Phillip,Meyers,true
251,Nicholas Hubbard,275.4008364,Nicholas,Hubbard,true
252,Misty Ramirez,62.31681444,Misty,Ramirez,false
253,Scott Johnson,85.87388958,Scott,Johnson,false
254,Jay Nixon,253.4674787,Jay,Nixon,true
255,Tony Hall,61.19716522,Tony,Hall,false
256,Taylor Smith,41.49264584,Taylor,Smith,false
257,Mark Reynolds,70.49794436,Mark,Reynolds,false
258,Marilyn Christensen,155.4854533,Marilyn,Christensen,true
259,Denise Atkins,185.451601,Denise,Atkins,true
260,Melissa Gonzales,228.0025997,Melissa,Gonzales,true
261,Henry Hoffman,229.6628876,Henry,Hoffman,true
262,Daisy Davenport,59.52753518,Daisy,Davenport,false
263,Christopher Paul,122.7131699,Christopher,Paul,true
264,Kevin Craig,148.2010516,Kevin,Craig,true
265,Natalie Coleman,122.1440452,Natalie,Coleman,true
266,Jeremy Strickland,130.8435662,Jeremy,Strickland,true
267,Gary Bonilla,162.6152534,Gary,Bonilla,true
268,Amanda Richards,236.5957164,Amanda,Richards,true
269,Heidi Perez,245.1757228,Heidi,Perez,true
270,Robert Johnson,174.6922346,Robert,Johnson,true
271,Gary Mills,183.8363212,Gary,Mills,true
272,Chelsea Caldwell,16.12083718,Chelsea,Caldwell,false
273,John Frye,223.2774175,John,Frye,true
274,Michael Strong,220.4122322,Michael,Strong,true
275,Christopher Delgado,85.78279752,Christopher,Delgado,false
276,Whitney Wallace,253.4556183,Whitney,Wallace,true
277,Rebecca Martinez,59.68320226,Rebecca,Martinez,false
278,Marissa Mccoy,116.9634653,Marissa,Mccoy,true
279,Ricky Kerr,38.99584409,Ricky,Kerr,false
280,Anna Campbell,249.9213404,Anna,Campbell,true
281,Marie Walters,73.38808729,Marie,Walters,false
282,Robert Martin,38.22288302,Robert,Martin,false
283,Marc Davis,162.2802619,Marc,Davis,true
284,James Dixon,159.3794328,James,Dixon,true
285,Vicki Ramirez,186.1602427,Vicki,Ramirez,true
286,Krista Campbell,161.2338436,Krista,Campbell,true
287,Lauren Patterson,170.2123273,Lauren,Patterson,true
288,Megan Clark,290.2581556,Megan,Clark,true
289,Judy Zimmerman,219.5888255,Judy,Zimmerman,true
290,Joseph Williams MD,210.7841859,Joseph,Williams MD,true
291,Lori Acevedo,210.6602899,Lori,Acevedo,true
292,William Taylor,275.6331763,William,Taylor,true
293,Dawn Snyder,248.9840417,Dawn,Snyder,true
294,Jennifer Simmons,80.68353707,Jennifer,Simmons,false
295,Alyssa Nunez,163.8009002,Alyssa,Nunez,true
296,Robert Black,63.92800482,Robert,Black,false
297,Julia Young,239.2396683,Julia,Young,true
298,Melinda Barnes,227.2506352,Melinda,Barnes,true
299,Mr. Brett Armstrong,154.1341836,Mr.,Brett Armstrong,true
300,Erik Stevenson,246.0040722,Erik,Stevenson,true
301,Daniel George,34.80089308,Daniel,George,false
302,Lindsey Jones,197.7020395,Lindsey,Jones,true
303,Virginia Lopez,227.4255915,Virginia,Lopez,true
304,Andrew Brown,92.88318049,Andrew,Brown,false
305,Donna Lowery,264.8326094,Donna,Lowery,true
306,Alexis Andrade,6.313985183,Alexis,Andrade,false
307,Alyssa Pierce,47.74032516,Alyssa,Pierce,false
308,Tara Johnson,38.26768696,Tara,Johnson,false
309,Michael Brady,162.0594322,Michael,Brady,true
310,James Rhodes,51.92414009,James,Rhodes,false
311,Pamela Scott,42.43333392,Pamela,Scott,false
312,Martin Ward,170.9498248,Martin,Ward,true
313,Kristina Hernandez,107.6915718,Kristina,Hernandez,true
314,Robert Bush,87.18004191,Robert,Bush,false
315,Rebecca Larson,214.3895725,Rebecca,Larson,true
316,Brittany Watson,190.520018,Brittany,Watson,true
317,Ryan Ramirez,249.7287913,Ryan,Ramirez,true
318,Edward Burns,87.64996993,Edward,Burns,false
319,John Prince,31.73842034,John,Prince,false
320,Ashley Boyer,107.6625992,Ashley,Boyer,true
321,James Dean,61.6954542,James,Dean,false
322,Natalie Gordon,268.2800094,Natalie,Gordon,true
323,Ryan Smith,136.207813,Ryan,Smith,true
324,Stephen Thompson,54.29639714,Stephen,Thompson,false
325,William Delgado,96.25442517,William,Delgado,false
326,Brian Johnson,124.929208,Brian,Johnson,true
327,James Patel,216.6056429,James,Patel,true
328,Allen Rogers,145.4342467,Allen,Rogers,true
329,Aimee Reyes,277.6656815,Aimee,Reyes,true
330,Susan Williams,255.2153532,Susan,Williams,true
331,Edward Griffin,108.6205222,Edward,Griffin,true
332,Debra Baker,296.5003089,Debra,Baker,true
333,Yvette Kramer,279.9371174,Yvette,Kramer,true
334,Alyssa Williams DVM,270.8972241,Alyssa,Williams DVM,true
335,John Cunningham,173.0242833,John,Cunningham,true
336,Dana Gilbert,86.51917139,Dana,Gilbert,false
337,Stephen Henry,146.1515578,Stephen,Henry,true
338,Bradley James,137.9824935,Bradley,James,true
339,Melinda Peters,16.83003044,Melinda,Peters,false
340,Robert Goodman,213.5423984,Robert,Goodman,true
341,Leslie Moore,195.9630799,Leslie,Moore,true
342,Sarah Gray,270.7947288,Sarah,Gray,true
343,Amy Haynes,258.5062773,Amy,Haynes,true
344,Gary Dean,184.425152,Gary,Dean,true
345,Jonathan Duran,224.5361417,Jonathan,Duran,true
346,Elizabeth Ruiz,124.6694495,Elizabeth,Ruiz,true
347,Caitlin Lewis,196.3598959,Caitlin,Lewis,true
348,Micheal Blackburn,10.44317525,Micheal,Blackburn,false
349,Sheryl Mccarthy,159.9519731,Sheryl,Mccarthy,true
350,Lisa Smith,150.9122679,Lisa,Smith,true
351,Jared Juarez,247.5606457,Jared,Juarez,true
352,Brett Castro,217.3328585,Brett,Castro,true
353,Jessica Murray,175.3022184,Jessica,Murray,true
354,Austin Coffey,16.25913962,Austin,Coffey,false
355,Shelly Jacobs,3.856762052,Shelly,Jacobs,false
356,Elizabeth Logan,298.7423281,Elizabeth,Logan,true
357,Cody Anderson,128.0814967,Cody,Anderson,true
358,Kayla Wood,256.052876,Kayla,Wood,true
359,Paul Singh DDS,157.9636169,Paul,Singh DDS,true
360,James Mays,245.2433072,James,Mays,true
361,Thomas Moore,244.5914982,Thomas,Moore,true
362,Linda Pacheco,299.604007,Linda,Pacheco,true
363,Jenny Clark,66.32311808,Jenny,Clark,false
364,Patrick Guzman,223.4965981,Patrick,Guzman,true
365,Mr. Scott Peters,229.487331,Mr.,Scott Peters,true
366,John Stevenson,23.09927229,John,Stevenson,false
367,Kristina Brooks,154.6805826,Kristina,Brooks,true
368,Nancy Aguilar,63.38787527,Nancy,Aguilar,false
369,Robert Brown,132.7329536,Robert,Brown,true
370,Jessica Williams,255.9581577,Jessica,Williams,true
371,David Brown,290.5944806,David,Brown,true
372,Dorothy Munoz,242.56454,Dorothy,Munoz,true
373,Jason Lawson,76.09246622,Jason,Lawson,false
374,James Hall,167.9698314,James,Hall,true
375,Patricia Carpenter,46.08147123,Patricia,Carpenter,false
376,Jeff Cardenas,64.36052627,Jeff,Cardenas,false
377,Michelle Johnson,19.18945036,Michelle,Johnson,false
378,Frank Madden,17.34021424,Frank,Madden,false
379,George Tanner,291.4292653,George,Tanner,true
380,Dylan Johnson,40.65328581,Dylan,Johnson,false
381,Pamela King,282.4817647,Pamela,King,true
382,Jesse Frazier,95.66568525,Jesse,Frazier,false
383,Edward Russell,103.2235913,Edward,Russell,true
384,Diana Mcdonald,183.096436,Diana,Mcdonald,true
385,Randy Dawson,192.1441514,Randy,Dawson,true
386,Jasmine Williams,286.1692336,Jasmine,Williams,true
387,Robert Smith,124.219007,Robert,Smith,true
388,Sara Young,183.9944858,Sara,Young,true
389,Samantha Gonzalez,205.5899257,Samantha,Gonzalez,true
390,Christina Torres,286.2681619,Christina,Torres,true
391,Maria Bailey,141.9076294,Maria,Bailey,true
392,Charles Bartlett,94.22658657,Charles,Bartlett,false
393,Natalie Parker,238.0161589,Natalie,Parker,true
394,Paula Hernandez DDS,48.88381678,Paula,Hernandez DDS,false
395,Jessica Jenkins,14.94777896,Jessica,Jenkins,false
396,Drew Henson,223.0761309,Drew,Henson,true
397,Michael Davis,17.98090899,Michael,Davis,false
398,Ian Ramos,23.68465648,Ian,Ramos,false
399,Anna Wright,235.5824596,Anna,Wright,true
400,Ashley Anderson,74.40865878,Ashley,Anderson,false
401,Jennifer Wright,298.1278773,Jennifer,Wright,true
402,Nicole Lopez,67.72888616,Nicole,Lopez,false
403,Tara Ellis,21.92761435,Tara,Ellis,false
404,Hannah Elliott,42.35003061,Hannah,Elliott,false
405,Gavin Rodriguez,116.3664242,Gavin,Rodriguez,true
406,Johnny Jackson,291.5968901,Johnny,Jackson,true
407,Martin Garrett,147.0670556,Martin,Garrett,true
408,Terri Hayes,167.3609673,Terri,Hayes,true
409,Adam Huang,260.8409357,Adam,Huang,true
410,Carolyn Garner,104.4106535,Carolyn,Garner,true
411,Lisa Lee,130.2202511,Lisa,Lee,true
412,Rodney Escobar,8.711600244,Rodney,Escobar,false
413,Michael Johnson,144.5450063,Michael,Johnson,true
414,Michelle Carter DVM,55.94822858,Michelle,Carter DVM,false
415,John Dunn,81.5436983,John,Dunn,false
416,Terry Pierce,297.8661824,Terry,Pierce,true
417,David Buck,258.7910904,David,Buck,true
418,Jennifer Newman,149.3096363,Jennifer,Newman,true
419,Cynthia Lee,246.5934196,Cynthia,Lee,true
420,Sylvia Clark,299.5252351,Sylvia,Clark,true
421,Joseph Taylor,86.08285036,Joseph,Taylor,false
422,Kathleen Barton,37.4218087,Kathleen,Barton,false
423,Michael Harris Jr.,52.86340979,Michael,Harris Jr.,false
424,Eric Benson,172.1967218,Eric,Benson,true
425,Curtis Butler,44.51322087,Curtis,Butler,false
426,Brittany Le,51.04878875,Brittany,Le,false
427,Jeremiah Sims,101.161794,Jeremiah,Sims,true
428,David Davis,290.4227547,David,Davis,true
429,Tiffany Bond,181.4895479,Tiffany,Bond,true
430,Patricia Chen,61.60059465,Patricia,Chen,false
431,William Crawford,181.7603749,William,Crawford,true
432,Christina Roberts,29.28680092,Christina,Roberts,false
433,Jerome Scott,232.1441336,Jerome,Scott,true
434,Jeffery Walker,272.0840276,Jeffery,Walker,true
435,Todd Alvarez,212.1733632,Todd,Alvarez,true
436,John Henry,223.9911858,John,Henry,true
437,James Miles,156.3675778,James,Miles,true
438,Michael Downs,31.19720611,Michael,Downs,false
439,Kayla Wheeler,6.095911005,Kayla,Wheeler,false
440,Charles Martin,161.2752287,Charles,Martin,true
441,Harold Bennett,135.042355,Harold,Bennett,true
442,Michael Swanson,200.3923528,Michael,Swanson,true
443,Janet Mcdonald,79.80353707,Janet,Mcdonald,false
444,Brett Willis,244.4064115,Brett,Willis,true
445,Jacob Smith,27.92322882,Jacob,Smith,false
446,Alexa Webb,167.5688585,Alexa,Webb,true
447,Louis Klein,40.12200004,Louis,Klein,false
448,Tony Yu,15.74238645,Tony,Yu,false
449,Lisa Goodman,121.0784096,Lisa,Goodman,true
450,Kimberly Hernandez,36.97352302,Kimberly,Hernandez,false
451,Phillip Friedman,145.8418308,Phillip,Friedman,true
452,Brian Lam,2.900394487,Brian,Lam,false
453,Kristin Wilkins,251.8510287,Kristin,Wilkins,true
454,Joshua Lynch,188.878111,Joshua,Lynch,true
455,Blake Mclaughlin,276.6512157,Blake,Mclaughlin,true
456,Billy Olsen,10.00480704,Billy,Olsen,false
457,Shawn Brock,179.6158086,Shawn,Brock,true
458,Danielle Jones,222.6952076,Danielle,Jones,true
459,Jim Gomez,60.12919733,Jim,Gomez,false
460,Sabrina Henderson,178.7453853,Sabrina,Henderson,true
461,David Pennington,245.3184012,David,Pennington,true
462,Deborah Williams,137.015971,Deborah,Williams,true
463,Stephanie Bowman,227.0047204,Stephanie,Bowman,true
464,Joseph Frazier,176.4533023,Joseph,Frazier,true
465,Ryan Mclaughlin,249.864376,Ryan,Mclaughlin,true
466,Tony Hall,135.8550959,Tony,Hall,true
467,Timothy Martin,289.2653637,Timothy,Martin,true
468,John Obrien,261.8481216,John,Obrien,true
469,Barbara Johnson,53.80589508,Barbara,Johnson,false
470,Brandon Marshall,139.8477827,Brandon,Marshall,true
471,Carrie Miller,11.55550873,Carrie,Miller,false
472,Samantha Dean,261.6193407,Samantha,Dean,true
473,Jamie Wilson,87.74932378,Jamie,Wilson,false
474,Carlos Acosta,236.6035296,Carlos,Acosta,true
475,Amy Bennett,228.7494578,Amy,Bennett,true
476,Dominique Wells,116.6435954,Dominique,Wells,true
477,Sarah Bright,237.5160783,Sarah,Bright,true
478,Michael Barton,111.5883392,Michael,Barton,true
479,Rebecca Anderson,172.3062642,Rebecca,Anderson,true
480,Megan Riggs,31.41542458,Megan,Riggs,false
481,Whitney Andrews,44.1176993,Whitney,Andrews,false
482,Catherine Jones,127.0135122,Catherine,Jones,true
483,William Andrews,236.2180763,William,Andrews,true
484,Kathleen Edwards,158.3239538,Kathleen,Edwards,true
485,Roger Frost,220.4688874,Roger,Frost,true
486,Justin Johnson,255.8491608,Justin,Johnson,true
487,Valerie Young,265.1702577,Valerie,Young,true
488,Samantha Perez,239.9469797,Samantha,Perez,true
489,Devin Allen,72.15833791,Devin,Allen,false
490,Stephanie Little,238.9238728,Stephanie,Little,true
491,Melanie Miller,27.5070475,Melanie,Miller,false
492,Erica Beck,2.408526397,Erica,Beck,false
493,Toni Dunn,168.373362,Toni,Dunn,true
494,Eric Dunn,211.8975891,Eric,Dunn,true
495,David Jackson,169.3550529,David,Jackson,true
496,Melanie Gates,94.66629008,Melanie,Gates,false
497,Heather Pierce,17.41061969,Heather,Pierce,false
498,Jordan Lewis,153.0146174,Jordan,Lewis,true
499,Michele Johnson,255.7149801,Michele,Johnson,true
500,Samantha Ryan,249.4925261,Samantha,Ryan,true
501,Christopher Hudson,201.9997518,Christopher,Hudson,true
502,Zachary Williams,106.5992164,Zachary,Williams,true
503,Donna Davis,66.72879991,Donna,Davis,false
504,Jordan Erickson,237.7720748,Jordan,Erickson,true
